gender,religion,degree,country,age,yes,no
0,0,0,USA,1,12,9
0,0,0,USA,2,19,15
0,0,0,USA,3,4,7
0,0,0,USA,4,7,10
0,0,0,Australia,1,30,22
0,0,0,Australia,2,20,21
0,0,0,Australia,3,13,8
0,0,0,Australia,4,6,12
0,0,0,Norway,1,5,5
0,0,0,Norway,2,2,8
0,0,0,Norway,3,7,2
0,0,0,Norway,4,2,0
0,0,0,Sweden,1,1,2
0,0,0,Sweden,2,3,0
0,0,0,Sweden,3,1,1
0,0,0,Sweden,4,0,0
0,0,1,USA,1,3,1
0,0,1,USA,2,9,5
0,0,1,USA,3,7,3
0,0,1,USA,4,2,0
0,0,1,Australia,1,5,3
0,0,1,Australia,2,5,3
0,0,1,Australia,3,3,2
0,0,1,Australia,4,0,0
0,0,1,Norway,1,0,0
0,0,1,Norway,2,6,1
0,0,1,Norway,3,3,1
0,0,1,Norway,4,2,0
0,0,1,Sweden,1,0,0
0,0,1,Sweden,2,0,0
0,0,1,Sweden,3,1,0
0,0,1,Sweden,4,0,0
0,1,0,USA,1,31,35
0,1,0,USA,2,60,70
0,1,0,USA,3,39,49
0,1,0,USA,4,50,99
0,1,0,Australia,1,121,69
0,1,0,Australia,2,122,121
0,1,0,Australia,3,78,86
0,1,0,Australia,4,73,96
0,1,0,Norway,1,43,27
0,1,0,Norway,2,63,49
0,1,0,Norway,3,48,37
0,1,0,Norway,4,41,40
0,1,0,Sweden,1,71,28
0,1,0,Sweden,2,47,27
0,1,0,Sweden,3,49,27
0,1,0,Sweden,4,48,27
0,1,1,USA,1,9,16
0,1,1,USA,2,26,38
0,1,1,USA,3,10,14
0,1,1,USA,4,5,21
0,1,1,Australia,1,13,8
0,1,1,Australia,2,14,4
0,1,1,Australia,3,5,3
0,1,1,Australia,4,2,1
0,1,1,Norway,1,40,34
0,1,1,Norway,2,27,21
0,1,1,Norway,3,18,14
0,1,1,Norway,4,20,12
0,1,1,Sweden,1,21,19
0,1,1,Sweden,2,33,29
0,1,1,Sweden,3,27,21
0,1,1,Sweden,4,3,7
1,0,0,USA,1,16,15
1,0,0,USA,2,20,22
1,0,0,USA,3,14,11
1,0,0,USA,4,12,19
1,0,0,Australia,1,30,23
1,0,0,Australia,2,42,37
1,0,0,Australia,3,17,24
1,0,0,Australia,4,8,16
1,0,0,Norway,1,2,13
1,0,0,Norway,2,1,10
1,0,0,Norway,3,7,2
1,0,0,Norway,4,3,4
1,0,0,Sweden,1,0,1
1,0,0,Sweden,2,0,0
1,0,0,Sweden,3,1,2
1,0,0,Sweden,4,0,1
1,0,1,USA,1,2,6
1,0,1,USA,2,9,8
1,0,1,USA,3,6,6
1,0,1,USA,4,4,4
1,0,1,Australia,1,3,4
1,0,1,Australia,2,5,6
1,0,1,Australia,3,2,2
1,0,1,Australia,4,1,2
1,0,1,Norway,1,2,5
1,0,1,Norway,2,5,5
1,0,1,Norway,3,2,0
1,0,1,Norway,4,1,3
1,0,1,Sweden,1,0,0
1,0,1,Sweden,2,0,1
1,0,1,Sweden,3,0,0
1,0,1,Sweden,4,0,0
1,1,0,USA,1,35,34
1,1,0,USA,2,40,65
1,1,0,USA,3,36,47
1,1,0,USA,4,28,92
1,1,0,Australia,1,86,46
1,1,0,Australia,2,79,91
1,1,0,Australia,3,70,81
1,1,0,Australia,4,79,102
1,1,0,Norway,1,42,43
1,1,0,Norway,2,60,57
1,1,0,Norway,3,47,47
1,1,0,Norway,4,33,30
1,1,0,Sweden,1,56,32
1,1,0,Sweden,2,73,36
1,1,0,Sweden,3,59,34
1,1,0,Sweden,4,43,37
1,1,1,USA,1,11,17
1,1,1,USA,2,15,29
1,1,1,USA,3,9,24
1,1,1,USA,4,5,31
1,1,1,Australia,1,8,12
1,1,1,Australia,2,7,8
1,1,1,Australia,3,4,7
1,1,1,Australia,4,1,2
1,1,1,Norway,1,22,16
1,1,1,Norway,2,22,22
1,1,1,Norway,3,17,13
1,1,1,Norway,4,4,9
1,1,1,Sweden,1,18,9
1,1,1,Sweden,2,18,25
1,1,1,Sweden,3,21,23
1,1,1,Sweden,4,10,10
